"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GW2JRH8L","computerProgram","2020","MMPose Contributors","OpenMMLab Pose Estimation Toolbox and Benchmark","","","","","https://github.com/open-mmlab/mmpose","OpenMMLab Pose Estimation Toolbox and Benchmark.","2020-08","2025-06-14 13:41:09","2025-06-14 13:41:09","2025-06-14 13:41:09","","","","","","","","","","","","","","","Apache-2.0","","","","GitHub","","original-date: 2020-07-08T06:02:55Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Python","","","","","","","","",""
"KZPSJC4X","preprint","2022","Li, Yanjie; Yang, Sen; Liu, Peidong; Zhang, Shoukui; Wang, Yunxiao; Wang, Zhicheng; Yang, Wankou; Xia, Shu-Tao","SimCC: a Simple Coordinate Classification Perspective for Human Pose Estimation","","","","10.48550/arXiv.2107.03332","http://arxiv.org/abs/2107.03332","The 2D heatmap-based approaches have dominated Human Pose Estimation (HPE) for years due to high performance. However, the long-standing quantization error problem in the 2D heatmap-based methods leads to several well-known drawbacks: 1) The performance for the low-resolution inputs is limited; 2) To improve the feature map resolution for higher localization precision, multiple costly upsampling layers are required; 3) Extra post-processing is adopted to reduce the quantization error. To address these issues, we aim to explore a brand new scheme, called SimCC, which reformulates HPE as two classification tasks for horizontal and vertical coordinates. The proposed SimCC uniformly divides each pixel into several bins, thus achieving sub-pixel localization precision and low quantization error. Benefiting from that, SimCC can omit additional refinement post-processing and exclude upsampling layers under certain settings, resulting in a more simple and effective pipeline for HPE. Extensive experiments conducted over COCO, CrowdPose, and MPII datasets show that SimCC outperforms heatmap-based counterparts, especially in low-resolution settings by a large margin.","2022-07-05","2025-06-14 13:43:08","2025-06-14 13:43:09","2025-06-14 13:43:08","","","","","","","SimCC","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2107.03332 [cs]","","/home/martin/Zotero/storage/UFSKFKQL/Li et al. - 2022 - SimCC a Simple Coordinate Classification Perspective for Human Pose Estimation.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2107.03332","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAPMJ7VD","conferencePaper","2022","Li, Yanghao; Wu, Chao-Yuan; Fan, Haoqi; Mangalam, Karttikeya; Xiong, Bo; Malik, Jitendra; Feichtenhofer, Christoph","MViTv2: Improved Multiscale Vision Transformers for Classification and Detection","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","978-1-6654-6946-3","","10.1109/CVPR52688.2022.00476","https://ieeexplore.ieee.org/document/9879809/","In this paper, we study Multiscale Vision Transformers (MViTv2) as a unified architecture for image and video classification, as well as object detection. We present an improved version of MViT that incorporates decomposed relative positional embeddings and residual pooling connections. We instantiate this architecture in five sizes and evaluate it for ImageNet classification, COCO detection and Kinetics video recognition where it outperforms prior work. We further compare MViTv2s’ pooling attention to window attention mechanisms where it outperforms the latter in accuracy/compute. Without bells-and-whistles, MViTv2 has state-of-the-art performance in 3 domains: 88.8% accuracy on ImageNet classification, 58.7 APbox on COCO object detection as well as 86.1% on Kinetics-400 video classification. Code and models are available at https: //github.com/facebookresearch/mvit.","2022-06","2025-06-14 13:46:21","2025-06-14 13:46:22","2025-06-14 13:46:21","4794-4804","","","","","","MViTv2","","","","","IEEE","New Orleans, LA, USA","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/home/martin/Zotero/storage/VUZ3BZQV/Li et al. - 2022 - MViTv2 Improved Multiscale Vision Transformers for Classification and Detection.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","","","","","","","","","","","","",""
"FMEC2FQI","preprint","2021","Liu, Yen-Cheng; Ma, Chih-Yao; He, Zijian; Kuo, Chia-Wen; Chen, Kan; Zhang, Peizhao; Wu, Bichen; Kira, Zsolt; Vajda, Peter","Unbiased Teacher for Semi-Supervised Object Detection","","","","10.48550/arXiv.2102.09480","http://arxiv.org/abs/2102.09480","Semi-supervised learning, i.e., training networks with both labeled and unlabeled data, has made signiﬁcant progress recently. However, existing works have primarily focused on image classiﬁcation tasks and neglected object detection which requires more annotation effort. In this work, we revisit the Semi-Supervised Object Detection (SS-OD) and identify the pseudo-labeling bias issue in SSOD. To address this, we introduce Unbiased Teacher1, a simple yet effective approach that jointly trains a student and a gradually progressing teacher in a mutually-beneﬁcial manner. Together with a class-balance loss to downweight overly conﬁdent pseudo-labels, Unbiased Teacher consistently improved state-ofthe-art methods by signiﬁcant margins on COCO-standard, COCO-additional, and VOC datasets. Speciﬁcally, Unbiased Teacher achieves 6.8 absolute mAP improvements against state-of-the-art method when using 1% of labeled data on MS-COCO, achieves around 10 mAP improvements against the supervised baseline when using only 0.5, 1, 2% of labeled data on MS-COCO.","2021-02-18","2025-06-14 13:46:26","2025-06-14 13:46:27","2025-06-14 13:46:26","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2102.09480 [cs]","","/home/martin/Zotero/storage/YFHVGM6Z/Liu et al. - 2021 - Unbiased Teacher for Semi-Supervised Object Detection.pdf","","","Computer Science - Machine Learning; Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2102.09480","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3VCNRG5F","preprint","2022","Cheng, Bowen; Parkhi, Omkar; Kirillov, Alexander","Pointly-Supervised Instance Segmentation","","","","10.48550/arXiv.2104.06404","http://arxiv.org/abs/2104.06404","We propose an embarrassingly simple point annotation scheme to collect weak supervision for instance segmentation. In addition to bounding boxes, we collect binary labels for a set of points uniformly sampled inside each bounding box. We show that the existing instance segmentation models developed for full mask supervision can be seamlessly trained with point-based supervision collected via our scheme. Remarkably, Mask R-CNN trained on COCO, PASCAL VOC, Cityscapes, and LVIS with only 10 annotated random points per object achieves 94%–98% of its fully-supervised performance, setting a strong baseline for weakly-supervised instance segmentation. The new point annotation scheme is approximately 5 times faster than annotating full object masks, making high-quality instance segmentation more accessible in practice.","2022-06-15","2025-06-14 13:46:42","2025-06-14 13:46:43","2025-06-14 13:46:42","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2104.06404 [cs]","","/home/martin/Zotero/storage/2Q2XI8QL/Cheng et al. - 2022 - Pointly-Supervised Instance Segmentation.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2104.06404","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQMS59DP","preprint","2020","Chen, Xinlei; Fan, Haoqi; Girshick, Ross; He, Kaiming","Improved Baselines with Momentum Contrastive Learning","","","","10.48550/arXiv.2003.04297","http://arxiv.org/abs/2003.04297","Contrastive unsupervised learning has recently shown encouraging progress, e.g., in Momentum Contrast (MoCo) and SimCLR. In this note, we verify the effectiveness of two of SimCLR's design improvements by implementing them in the MoCo framework. With simple modifications to MoCo---namely, using an MLP projection head and more data augmentation---we establish stronger baselines that outperform SimCLR and do not require large training batches. We hope this will make state-of-the-art unsupervised learning research more accessible. Code will be made public.","2020-03-09","2025-06-14 13:46:58","2025-06-14 13:56:33","2025-06-14 13:46:58","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2003.04297 [cs]","","/home/martin/Zotero/storage/U3ZEANCW/Chen et al. - 2020 - Improved Baselines with Momentum Contrastive Learning.pdf; /home/martin/Zotero/storage/TAVAEAQ3/2003.html","","self-supervised; keypoint detection","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2003.04297","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2RHQ6F4","computerProgram","2025","","facebookresearch/moco","","","","","https://github.com/facebookresearch/moco","PyTorch implementation of MoCo: https://arxiv.org/abs/1911.05722","2025-06-13","2025-06-14 13:47:08","2025-06-14 13:56:43","2025-06-14 13:47:08","","","","","","","","","","","","Meta Research","","","MIT","","","","GitHub","","original-date: 2020-03-17T22:42:11Z","","","","keypoint detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Python","","","","","","","","",""
"JEL7D49B","preprint","2020","He, Kaiming; Fan, Haoqi; Wu, Yuxin; Xie, Saining; Girshick, Ross","Momentum Contrast for Unsupervised Visual Representation Learning","","","","10.48550/arXiv.1911.05722","http://arxiv.org/abs/1911.05722","We present Momentum Contrast (MoCo) for unsupervised visual representation learning. From a perspective on contrastive learning as dictionary look-up, we build a dynamic dictionary with a queue and a moving-averaged encoder. This enables building a large and consistent dictionary on-the-fly that facilitates contrastive unsupervised learning. MoCo provides competitive results under the common linear protocol on ImageNet classification. More importantly, the representations learned by MoCo transfer well to downstream tasks. MoCo can outperform its supervised pre-training counterpart in 7 detection/segmentation tasks on PASCAL VOC, COCO, and other datasets, sometimes surpassing it by large margins. This suggests that the gap between unsupervised and supervised representation learning has been largely closed in many vision tasks.","2020-03-23","2025-06-14 13:47:38","2025-06-14 13:47:38","2025-06-14 13:47:38","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1911.05722 [cs]","","/home/martin/Zotero/storage/G5UIBY8E/He et al. - 2020 - Momentum Contrast for Unsupervised Visual Representation Learning.pdf; /home/martin/Zotero/storage/28ICHKM9/1911.html","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1911.05722","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMM6LIHZ","preprint","2019","Li, Yanghao; Chen, Yuntao; Wang, Naiyan; Zhang, Zhaoxiang","Scale-Aware Trident Networks for Object Detection","","","","10.48550/arXiv.1901.01892","http://arxiv.org/abs/1901.01892","Scale variation is one of the key challenges in object detection. In this work, we ﬁrst present a controlled experiment to investigate the effect of receptive ﬁelds for scale variation in object detection. Based on the ﬁndings from the exploration experiments, we propose a novel Trident Network (TridentNet) aiming to generate scale-speciﬁc feature maps with a uniform representational power. We construct a parallel multi-branch architecture in which each branch shares the same transformation parameters but with different receptive ﬁelds. Then, we adopt a scale-aware training scheme to specialize each branch by sampling object instances of proper scales for training. As a bonus, a fast approximation version of TridentNet could achieve signiﬁcant improvements without any additional parameters and computational cost compared with the vanilla detector. On the COCO dataset, our TridentNet with ResNet-101 backbone achieves state-of-the-art single-model results of 48.4 mAP. Codes are available at https://git.io/fj5vR.","2019-08-20","2025-06-14 13:49:47","2025-06-14 13:49:47","2025-06-14 13:49:47","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1901.01892 [cs]","","/home/martin/Zotero/storage/JRSZQLHR/Li et al. - 2019 - Scale-Aware Trident Networks for Object Detection.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1901.01892","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQ5WPZGH","bookSection","2022","Li, Yanghao; Mao, Hanzi; Girshick, Ross; He, Kaiming","Exploring Plain Vision Transformer Backbones for Object Detection","Computer Vision – ECCV 2022","978-3-031-20076-2 978-3-031-20077-9","","","https://link.springer.com/10.1007/978-3-031-20077-9_17","","2022","2025-06-14 13:49:53","2025-06-14 13:49:53","2025-06-14 13:49:53","280-296","","","13669","","","","","","","","Springer Nature Switzerland","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-031-20077-9_17","","/home/martin/Zotero/storage/Z47F2VIK/Li et al. - 2022 - Exploring Plain Vision Transformer Backbones for Object Detection.pdf","","","","Avidan, Shai; Brostow, Gabriel; Cissé, Moustapha; Farinella, Giovanni Maria; Hassner, Tal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WNYEVNDU","webpage","","","Papers with Code - Keypoint Detection","","","","","https://paperswithcode.com/task/keypoint-detection","**Keypoint Detection** is essential for analyzing and interpreting images in computer vision. It involves simultaneously detecting and localizing interesting points in an image. Keypoints, also known as interest points, are spatial locations or points in the image that define what is interesting or what stands out. They are invariant to image rotation, shrinkage, translation, distortion, etc. Keypoints examples are body joints, facial landmarks, or any other salient points in objects. Keypoints have uses in problems such as pose estimation, object detection and tracking, facial analysis, and augmented reality. <span style=""color:grey; opacity: 0.6"">( Image credit: [PifPaf: Composite Fields for Human Pose Estimation](https://github.com/vita-epfl/openpifpaf); ""Learning to surf"" by fotologic, license: CC-BY-2.0 )</span>","","2025-06-14 13:49:58","2025-06-14 13:49:58","2025-06-14 13:49:58","","","","","","","","","","","","","","en","","","","","","","","","/home/martin/Zotero/storage/LKVKK7VL/keypoint-detection.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQMPVISM","preprint","2019","Zhou, Xingyi; Wang, Dequan; Krähenbühl, Philipp","Objects as Points","","","","10.48550/arXiv.1904.07850","http://arxiv.org/abs/1904.07850","Detection identifies objects as axis-aligned boxes in an image. Most successful object detectors enumerate a nearly exhaustive list of potential object locations and classify each. This is wasteful, inefficient, and requires additional post-processing. In this paper, we take a different approach. We model an object as a single point --- the center point of its bounding box. Our detector uses keypoint estimation to find center points and regresses to all other object properties, such as size, 3D location, orientation, and even pose. Our center point based approach, CenterNet, is end-to-end differentiable, simpler, faster, and more accurate than corresponding bounding box based detectors. CenterNet achieves the best speed-accuracy trade-off on the MS COCO dataset, with 28.1% AP at 142 FPS, 37.4% AP at 52 FPS, and 45.1% AP with multi-scale testing at 1.4 FPS. We use the same approach to estimate 3D bounding box in the KITTI benchmark and human pose on the COCO keypoint dataset. Our method performs competitively with sophisticated multi-stage methods and runs in real-time.","2019-04-25","2025-06-14 13:50:13","2025-06-14 13:50:13","2025-06-14 13:50:13","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1904.07850 [cs]","","/home/martin/Zotero/storage/PP4HMKI4/Zhou et al. - 2019 - Objects as Points.pdf; /home/martin/Zotero/storage/QF3IGL5P/1904.html","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1904.07850","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8EKUCSW","preprint","2018","He, Kaiming; Gkioxari, Georgia; Dollár, Piotr; Girshick, Ross","Mask R-CNN","","","","10.48550/arXiv.1703.06870","http://arxiv.org/abs/1703.06870","We present a conceptually simple, ﬂexible, and general framework for object instance segmentation. Our approach efﬁciently detects objects in an image while simultaneously generating a high-quality segmentation mask for each instance. The method, called Mask R-CNN, extends Faster R-CNN by adding a branch for predicting an object mask in parallel with the existing branch for bounding box recognition. Mask R-CNN is simple to train and adds only a small overhead to Faster R-CNN, running at 5 fps. Moreover, Mask R-CNN is easy to generalize to other tasks, e.g., allowing us to estimate human poses in the same framework. We show top results in all three tracks of the COCO suite of challenges, including instance segmentation, boundingbox object detection, and person keypoint detection. Without bells and whistles, Mask R-CNN outperforms all existing, single-model entries on every task, including the COCO 2016 challenge winners. We hope our simple and effective approach will serve as a solid baseline and help ease future research in instance-level recognition. Code has been made available at: https://github.com/ facebookresearch/Detectron.","2018-01-24","2025-06-14 13:50:36","2025-06-14 13:50:36","2025-06-14 13:50:36","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1703.06870 [cs]","","/home/martin/Zotero/storage/RLUFXP2N/He et al. - 2018 - Mask R-CNN.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1703.06870","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74WSI4S9","preprint","2019","Cao, Zhe; Hidalgo, Gines; Simon, Tomas; Wei, Shih-En; Sheikh, Yaser","OpenPose: Realtime Multi-Person 2D Pose Estimation using Part Affinity Fields","","","","10.48550/arXiv.1812.08008","http://arxiv.org/abs/1812.08008","Realtime multi-person 2D pose estimation is a key component in enabling machines to have an understanding of people in images and videos. In this work, we present a realtime approach to detect the 2D pose of multiple people in an image. The proposed method uses a nonparametric representation, which we refer to as Part Afﬁnity Fields (PAFs), to learn to associate body parts with individuals in the image. This bottom-up system achieves high accuracy and realtime performance, regardless of the number of people in the image. In previous work, PAFs and body part location estimation were reﬁned simultaneously across training stages. We demonstrate that a PAF-only reﬁnement rather than both PAF and body part location reﬁnement results in a substantial increase in both runtime performance and accuracy. We also present the ﬁrst combined body and foot keypoint detector, based on an internal annotated foot dataset that we have publicly released. We show that the combined detector not only reduces the inference time compared to running them sequentially, but also maintains the accuracy of each component individually. This work has culminated in the release of OpenPose, the ﬁrst open-source realtime system for multi-person 2D pose detection, including body, foot, hand, and facial keypoints.","2019-05-30","2025-06-14 13:50:53","2025-06-14 13:50:53","2025-06-14 13:50:53","","","","","","","OpenPose","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1812.08008 [cs]","","/home/martin/Zotero/storage/3EFFAY7F/Cao et al. - 2019 - OpenPose Realtime Multi-Person 2D Pose Estimation using Part Affinity Fields.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1812.08008","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HY3QJJFE","preprint","2020","Tang, Jiexiong; Ambrus, Rares; Guizilini, Vitor; Pillai, Sudeep; Kim, Hanme; Jensfelt, Patric; Gaidon, Adrien","Self-Supervised 3D Keypoint Learning for Ego-motion Estimation","","","","10.48550/arXiv.1912.03426","http://arxiv.org/abs/1912.03426","Detecting and matching robust viewpoint-invariant keypoints is critical for visual SLAM and Structure-from-Motion. State-of-the-art learning-based methods generate training samples via homography adaptation to create 2D synthetic views with known keypoint matches from a single image. This approach, however, does not generalize to non-planar 3D scenes with illumination variations commonly seen in real-world videos. In this work, we propose self-supervised learning of depth-aware keypoints directly from unlabeled videos. We jointly learn keypoint and depth estimation networks by combining appearance and geometric matching via a differentiable structure-from-motion module based on Procrustean residual pose correction. We describe how our self-supervised keypoints can be integrated into state-of-the-art visual odometry frameworks for robust and accurate ego-motion estimation of autonomous vehicles in real-world conditions.","2020-11-18","2025-06-14 13:51:21","2025-06-14 13:51:53","2025-06-14 13:51:21","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1912.03426 [cs]","","/home/martin/Zotero/storage/MMAJVGNF/Tang et al. - 2020 - Self-Supervised 3D Keypoint Learning for Ego-motion Estimation.pdf; /home/martin/Zotero/storage/BANZI395/1912.html","","self-supervised","Computer Science - Machine Learning; Computer Science - Computer Vision and Pattern Recognition; Computer Science - Robotics","","","","","","","","","","","","","","","","","","","arXiv:1912.03426","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WEXJDWAC","conferencePaper","2022","Sun, Jennifer J.; Ryou, Serim; Goldshmid, Roni H.; Weissbourd, Brandon; Dabiri, John O.; Anderson, David J.; Kennedy, Ann; Yue, Yisong; Perona, Pietro","Self-Supervised Keypoint Discovery in Behavioral Videos","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","978-1-6654-6946-3","","10.1109/CVPR52688.2022.00221","https://ieeexplore.ieee.org/document/9878730/","","2022-06","2025-06-14 13:52:30","2025-06-14 13:52:42","2025-06-14 13:52:30","2161-2170","","","","","","","","","","","IEEE","New Orleans, LA, USA","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/home/martin/Zotero/storage/2K2Z5CT7/Sun et al. - 2022 - Self-Supervised Keypoint Discovery in Behavioral Videos.pdf","","self-supervised","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","","","","","","","","","","","","",""
